OBJECTID,GLOBALID,REGISTRO,ACTIVIDAD.ECONOMICA,TELEFONO,CORREO.ELECTRONICO,N.ESTABLECIMIENTO,ENCUESTADOR,OTRA.ACTIVIDAD.ECONOMICA,COD.ESTABLECIMIENTO,LETRERO,LETRERO.PINTADO,ENTRADA,CELULAR,CELULAR.SECUNDARIO,ZONA,PALABRA.CLAVE,X,Y
222,1ed74eeb-fd93-4da5-86f2-808be70f5378,7/13/2020 2:19,Comercial,0,,0,2,,91940_2,no,no,Estandar,0,0,CPS,Miscelánea,-74.145315,4.544468
223,7acdfccc-1702-45bb-8043-699b6b9da1b9,7/13/2020 2:33,Comercial,0,,0,2,,41264_1,no,no,Estandar,0,0,CPS,Licores,-74.145319,4.542174
224,65711f45-dbbb-41cb-83eb-4aba15002a5a,7/13/2020 2:54,Comercial,0,,"Distribuidora de Huevos ""H y S""",2,,6707_3,si,no,Pequeña,0,0,CPS,Distribuidora,-74.147402,4.539687
225,32f87a38-d81e-455e-8a3c-9b68a55de9ac,7/14/2020 12:07,Servicios,0,,0,1,,34628_1,no,no,Pequeña,0,0,FISDECO,Reciclaje,-74.143615,4.546148
226,61c0f648-383a-486b-8138-845db2ed65c7,7/14/2020 12:43,Comercial,0,,Panadería Cafeteria Estefy,1,,34628_2,si,si,Pequeña,0,0,FISDECO,Panadería,-74.143826,4.546795
227,6bbd97da-a400-45e0-824d-d55760ad13bb,7/14/2020 12:53,Comercial,0,,0,1,,34628_3,si,si,Estandar,0,0,FISDECO,Licores,-74.143859,4.546891
228,41a3a0c9-500c-46ba-8a9b-c79d2cc4d309,7/14/2020 12:57,Comercial,0,,Panadería M & M,1,,34628_4,si,no,Estandar,0,0,FISDECO,Panadería,-74.143867,4.546949
229,a1b0f147-54ce-469e-8709-46d744d8255e,7/14/2020 13:01,Otro,0,,Asociación de adulto mayor mis mejores años ASOMIMA,1,Asociación,14567_1,si,no,Estandar,0,0,FISDECO,Asociación,-74.143925,4.546903
230,67cef524-0155-433a-88c5-140d5ad46b19,7/14/2020 13:16,Industrial,7659672,,0,1,,14567_2,si,si,Pequeña,3125974668,0,FISDECO,Metalurgica,-74.144213,4.546876
231,f2311a36-a77d-4c7a-8b7f-067c303bd000,7/14/2020 13:29,Comercial,0,,0,1,,14567_3,no,no,Pequeña,0,0,FISDECO,Licores,-74.144286,4.546741
232,f872ea82-357b-4e62-8c99-49dd1530ea27,7/14/2020 13:43,Comercial,0,,Sueños de Bebé,1,,28984_1,si,no,Estandar,3003047072,0,FISDECO,Pañalera,-74.144098,4.545757
233,3361a816-dada-4dd7-8145-06b3d21dc713,7/14/2020 13:47,Comercial,0,,Jehova Jireh Productos de Aseo,1,,28984_2,si,no,Pequeña,0,0,FISDECO,Distribuidora,-74.144108,4.545786
234,93c399e8-38b6-4bcb-8111-787da1433a88,7/14/2020 14:00,Comercial,0,,0,1,,28984_3,no,no,Pequeña,0,0,FISDECO,Cigarrería,-74.144246,4.546302
235,f0e33953-5a1a-4cab-8bd1-0aa17949108f,7/14/2020 14:09,Otro,0,,Comedor comunitario Estrella del sur,1,Comedor Comunitario,28984_4,si,no,Estandar,0,0,FISDECO,Asociación,-74.144874,4.546632
236,0b400086-b192-4280-89bc-8490fa9cdb35,7/14/2020 15:00,Comercial,0,,Variedades Bimas,1,,28984_5,si,no,Pequeña,0,0,FISDECO,Ropa,-74.144724,4.546085
237,d20c553c-b56e-41ee-80ab-86e3925ebc78,7/14/2020 15:15,Comercial,0,,0,1,,10158_1,si,no,Estandar,0,0,FISDECO,Miscelánea,-74.144012,4.545386
238,9d6d56d7-7978-4e1f-8827-6379ec5cf210,7/14/2020 20:22,Comercial,0,,Nuevo mantenimiento Solar,1,,10158_2,si,no,Estandar,0,0,FISDECO,Herramientas,-74.144046,4.545149
239,60429887-11a3-4496-8d0e-97d016be00a6,7/14/2020 20:36,Otro,0,,Iglesia Cruzada Cristiana conquistadores de multitudes Puertas Abiertas,1,Iglesia Facebook: iglesiaconquistadoresdemultitudes,10158_3,si,no,Estandar,0,0,FISDECO,Iglesia,-74.144292,4.545123
240,7de97bdc-7d47-43d6-8f9b-1e5f84e68457,7/14/2020 20:44,Otro,0,,Hogar los solecitos,1,Hogar del ICBF,10158_4,si,no,Pequeña,0,0,FISDECO,Asociación,-74.144588,4.545113
241,0712de1b-9eb3-4d8c-8a3b-fa362e14aa54,7/14/2020 21:10,Comercial,0,,0,1,,10158_5,no,no,Estandar,0,0,FISDECO,Cigarrería,-74.144741,4.54534
242,0cf39ef8-f055-4357-87c7-48d62d31e59b,7/14/2020 21:18,Otro,0,,Osito Panda,1,Hogar del ICBF,10158_6,si,no,Pequeña,0,0,FISDECO,Asociación,-74.144736,4.545357
243,0d7b3d90-434a-493f-8d3d-83dc1a8a31f8,7/14/2020 21:26,Comercial,0,,La francesa,1,,36063_1,si,no,Estandar,0,0,FISDECO,Distribuidora,-74.14323,4.544663
244,ca4fb5fe-8ef0-4e73-8192-7ebf8d52f0e4,7/15/2020 2:51,Servicios,0,,DyS Technology,1,,36063_2,si,no,Estandar,0,0,FISDECO,Telecomunicaciones,-74.143297,4.54465
246,b8f92405-6f27-4941-8721-06bf281f3888,7/15/2020 3:01,Comercial,0,,0,1,,36063_4,no,no,Estandar,0,0,FISDECO,Carniceria,-74.143373,4.544645
247,f2256a9e-bca1-4dfd-8cae-4187438b58f2,7/15/2020 3:05,Comercial,0,,0,1,,36063_5,no,no,Estandar,0,0,FISDECO,Remate,-74.143415,4.544641
248,280967a1-fcae-4a32-8538-e96ee1f0625f,7/15/2020 3:10,Comercial,0,,Maxi Pizza,1,,36063_6,si,no,Estandar,0,0,FISDECO,Restaurante,-74.143464,4.544637
249,7ecb343d-c49e-41ba-87d3-238b45ff5b27,7/15/2020 3:14,Servicios,0,,Campo de tejo y Bolira Don Sabado,1,,36063_7,si,no,Estandar,0,0,FISDECO,Licores,-74.1435,4.544632
250,9d9e4b9c-9b84-40b3-8996-b238e5d4d574,7/15/2020 3:20,Comercial,0,,0,1,,36063_8,no,no,Estandar,0,0,FISDECO,Miscelánea,-74.143539,4.54462
251,b52ab93e-81d2-47e5-8090-70ea60ff562f,7/15/2020 3:23,Comercial,0,,MerkaAbastos La Estrella,1,,36063_9,si,no,Estandar,0,0,FISDECO,Supermercado,-74.143617,4.544612
252,8840d282-aa6c-4826-81a8-9f76aaf3d1b3,7/15/2020 3:29,Comercial,0,,Surtitienda La Estrella,1,,36063_10,si,no,Estandar,0,0,FISDECO,Supermercado,-74.143679,4.544608
253,fdf40be5-fd51-4bc2-8f06-28b9f24186a1,7/15/2020 3:35,Otro,0,,Iglesia Evangelica Discipulos de Cristo de Colombia,1,Iglesia,36063_11,si,no,Pequeña,0,0,FISDECO,Iglesia,-74.143744,4.544666
254,26619594-f2f5-4eba-8027-5606b4f76ac7,7/15/2020 3:39,Comercial,0,,0,1,,36063_12,no,no,Estandar,0,0,FISDECO,Cigarrería,-74.14381,4.544924
255,9e3733c6-a58e-43ed-89eb-03048028feae,7/15/2020 3:50,Servicios,0,,0,1,,36063_13,no,no,Pequeña,0,0,FISDECO,Telecomunicaciones,-74.14337,4.545116
256,d0913744-940f-41f4-880a-14b2a77c9668,7/15/2020 3:58,Comercial,0,,JL Papelería,1,,36063_14,si,no,Pequeña,0,0,FISDECO,Miscelánea,-74.143318,4.544984
257,7be1387e-8fd3-4030-8317-31f15f7b0e66,7/15/2020 4:05,Servicios,0,,0,1,,36063_15,no,no,Estandar,0,0,FISDECO,Taller,-74.143272,4.544822
258,76936cae-06a7-44d0-8883-a180ed214fc6,7/15/2020 4:08,Comercial,0,,Ferretería y electricos la Estrella,1,,36063_16,si,no,Estandar,0,0,FISDECO,Herramientas,-74.14326,4.544774
259,d01103ff-6771-4bd9-8817-ea87550c7e7d,7/15/2020 4:14,Servicios,0,,0,1,,36063_17,no,no,Estandar,0,0,FISDECO,Telecomunicaciones,-74.143254,4.544731
260,df064e92-1af4-4470-81c7-a331f16eb136,7/15/2020 4:23,Comercial,0,,Droguería Super Dazi,1,,27608_1,si,no,Estandar,0,0,FISDECO,Droguería,-74.14322,4.544594
261,c94429e9-3553-4fe3-86fe-044ccd410cef,7/15/2020 4:29,Servicios,0,,0,1,,27608_2,si,no,Estandar,0,0,FISDECO,Telecomunicaciones,-74.14329,4.544583
262,5b6d3840-58ca-4513-802c-10243bb6f25b,7/15/2020 4:34,Servicios,0,,Sala de belleza Geraldine,1,,27608_3,si,no,Estandar,0,0,FISDECO,Peluquería,-74.143307,4.544582
263,aac4a0c2-f8e2-483c-8b51-6c3fdccd30a2,7/15/2020 4:39,Comercial,0,,Asadero restaurante Chicken Estrella,1,,27608_4,si,no,Estandar,0,0,FISDECO,Restaurante,-74.143359,4.544581
264,15b86120-b27f-406e-8e47-01fa70b0bbdc,7/15/2020 4:43,Comercial,0,,Tamales Luz,1,,27608_5,si,no,Estandar,0,0,FISDECO,Restaurante,-74.143378,4.544577
265,de93897a-35d9-4827-88f3-5d11fc215e3e,7/15/2020 4:47,Comercial,0,,Pizzeria-Heladeria- Fruteria Express,1,,27608_6,si,no,Estandar,0,0,FISDECO,Restaurante,-74.143431,4.544573
266,b4ddc52c-0d32-483a-8c6f-66382afb83df,7/15/2020 4:52,Comercial,0,,0,1,,27608_7,no,no,Estandar,0,0,FISDECO,Remate,-74.143454,4.544563
267,e1025bf2-033d-40fe-880d-8c0e623bfbb9,7/15/2020 4:57,Comercial,0,,Ferretería M y M,1,,27608_8,si,no,Estandar,3138402401,3102146919,FISDECO,Herramientas,-74.143484,4.544562
268,daeda82a-971a-4135-88b2-4e98d68374d7,7/15/2020 5:04,Comercial,0,,Comidas rapidas Hugos,1,,27608_9,si,no,Estandar,0,0,FISDECO,Restaurante,-74.143519,4.54451
269,22c854b0-a377-4747-884d-ee5163486548,7/15/2020 5:09,Comercial,7909126,,Concentrado y alimentos Nico,1,,27608_10,si,no,Estandar,3124961499,0,FISDECO,Mascotas,-74.143509,4.544472
270,214ca7ee-248e-4068-89fc-61db9e4827e7,7/15/2020 5:16,Servicios,0,,0,1,,27608_11,no,no,Pequeña,0,0,FISDECO,Educación,-74.143501,4.544451
271,9127db36-b44c-416b-822f-f3e6d4aef9f5,7/15/2020 5:24,Comercial,7618321,,Deposito el maestro,1,,27608_12,si,no,Estandar,0,0,FISDECO,Herramientas,-74.143492,4.544404
272,52300993-74cc-48f2-89c9-ec0e5f294fdf,7/15/2020 5:33,Servicios,0,,Compraventa Zafiro ideal,1,,27608_13,si,no,Estandar,0,0,FISDECO,Compraventa,-74.143483,4.544354
273,ed9b1206-04fd-4d1a-8d98-a9ad4a6fb760,7/15/2020 5:39,Comercial,7905408,,Droguería Dromega,1,,27608_14,si,no,Estandar,0,0,FISDECO,Droguería,-74.143472,4.544308
274,4656b306-f943-4457-8fd5-28cb70e79ad3,7/15/2020 5:44,Comercial,0,,Panadería y Cafeteria Pao y Cami,1,,27608_15,si,no,Estandar,0,0,FISDECO,Panadería,-74.143456,4.544261
275,8e1c372c-f375-402a-8b3d-a4ad10872661,7/15/2020 5:48,Servicios,0,,0,1,,27608_16,si,no,Estandar,0,0,FISDECO,Telecomunicaciones,-74.143442,4.544194
276,8b2a07d6-4786-4db0-8ece-ec33ad37bdc8,7/15/2020 5:53,Servicios,0,,Lavaseco Extra Lujo,1,,27608_17,si,no,Estandar,0,0,FISDECO,Lavado,-74.143443,4.544179
277,6d4e7256-ca18-440c-8251-98ebffb531ee,7/15/2020 5:58,Servicios,0,,Paga todo para todos,1,,27608_18,si,no,Estandar,0,0,FISDECO,Juegos,-74.14342,4.544111
278,739487b1-360e-47d0-8cc0-268d0c474cbc,7/15/2020 6:02,Servicios,0,,Servientrega,1,,27608_19,si,no,Estandar,0,0,FISDECO,Juegos,-74.14341,4.544079
279,c6103da4-a437-446b-8412-953349b0aa8f,7/15/2020 6:06,Comercial,0,,Postres,1,,27608_20,si,no,Estandar,0,0,FISDECO,Restaurante,-74.143405,4.544061
280,1be4a6bf-0351-44be-8582-90d22158d65c,7/15/2020 6:11,Servicios,0,,0,1,,27608_21,no,no,Estandar,0,0,FISDECO,Peluquería,-74.143387,4.544042
281,e6432ba9-8ee0-447b-83c4-6a521ffc59bb,7/15/2020 6:17,Comercial,0,,Restaurante el punto del sabor,1,,27608_22,si,no,Estandar,0,0,FISDECO,Restaurante,-74.14315,4.544437
282,c510c37d-03e6-4e21-8936-6724770a8779,7/15/2020 6:23,Servicios,0,,Tato Barber,1,,27608_23,si,no,Estandar,0,0,FISDECO,Peluquería,-74.143159,4.544481
283,2819c475-333f-49c6-80ad-487cfa3b6257,7/15/2020 12:03,Servicios,0,,Billares,1,,9610_1,si,no,Estandar,0,0,FISDECO,Licores,-74.144224,4.544136
284,dc8bcc45-3e9b-479a-8591-01a129a9e548,7/15/2020 12:10,Comercial,0,,0,1,,18640_1,si,si,Pequeña,0,0,FISDECO,Cigarrería,-74.143811,4.544615
285,f936bc2f-1128-46b0-818d-fe3436a09950,7/15/2020 12:26,Comercial,0,,0,1,,18640_2,no,no,Pequeña,0,0,FISDECO,Supermercado,-74.143885,4.544612
286,27ab1cca-d048-4b1d-8115-01558d43d38d,7/15/2020 12:28,Servicios,0,,0,1,,18640_3,si,si,Estandar,0,0,FISDECO,Reciclaje,-74.143966,4.544616
287,ddf5d886-0937-4ad5-8971-c334434a1764,7/15/2020 12:35,Comercial,0,,Carnes Fis Gonzalez,1,,41265_1,si,no,Estandar,0,0,FISDECO,Distribuidora,-74.143608,4.54451
288,5f20ebee-a8be-4d56-80ac-96bdb13aa7ef,7/15/2020 12:37,Servicios,7904084,,Vidriería y Marquetería J y D,1,,41265_2,si,no,Estandar,0,0,FISDECO,Muebles,-74.143603,4.544468
289,d3d87120-412d-45a4-8c3e-19ef0a204f9e,7/15/2020 12:40,Comercial,0,,Distribuidora el diamante,1,,41265_3,si,no,Estandar,0,0,FISDECO,Distribuidora,-74.143583,4.544395
290,2643f680-276a-4c97-8fcf-7ff84c0ee1c2,7/15/2020 12:44,Comercial,0,,Papelería el imperio,1,,41265_4,si,no,Estandar,0,0,FISDECO,Miscelánea,-74.14357,4.544355
291,1c9ce3ff-c348-4b05-88f1-f8485ea0fc1d,7/15/2020 12:47,Comercial,0,,Carnes y veerduras la estrella,1,,41265_5,si,no,Estandar,0,0,FISDECO,Supermercado,-74.143548,4.544236
292,f656011b-13ed-409c-8b01-7635c3d07e91,7/15/2020 12:50,Comercial,0,,Paste pan express de la estrella,1,,41265_6,si,no,Estandar,0,0,FISDECO,Panadería,-74.143565,4.544171
293,7c5c6845-aa21-4192-8b9b-3f660447a7ff,7/15/2020 12:57,Comercial,0,,Distribuidora la estrella,1,,41265_7,si,no,Estandar,0,0,FISDECO,Distribuidora,-74.143685,4.544109
294,04daddb2-f3f1-43e2-86fe-ffbe009be871,7/15/2020 12:59,Comercial,0,,Jhuly fruver,1,,41265_8,si,no,Estandar,0,0,FISDECO,Supermercado,-74.143739,4.544102
295,79d528dc-99f5-4cf2-85d4-4ee585ee08fb,7/15/2020 22:05,Comercial,0,,Restaurante y tamalería Luz,1,,41265_9,si,no,Estandar,0,0,FISDECO,Restaurante,-74.143753,4.544542
296,19c14892-1691-4f9a-85a9-c128e3caeefe,7/15/2020 22:14,Servicios,0,,Mayeraw,1,,41265_10,si,no,Estandar,0,0,FISDECO,Telecomunicaciones,-74.143808,4.544539
297,584561d9-5576-4156-8205-e2f2c9410044,7/15/2020 22:34,Servicios,0,,Billares mixto - Cancha de Tejo y Mini tejo Don Sábado,1,,18503_1,si,no,Estandar,3112058378,0,FISDECO,Licores,-74.14406,4.544268
298,75a70543-e75a-4783-8b71-c3a865f89d92,7/15/2020 22:38,Comercial,0,,Asadero la 34 No. 2,1,,18503_2,si,no,Estandar,0,0,FISDECO,Restaurante,-74.144017,4.544108
299,74e79a26-6612-4a23-8fff-add566db365c,7/15/2020 22:45,Comercial,0,,Surtihogar la estrella,1,,18503_3,si,no,Estandar,0,0,FISDECO,Supermercado,-74.143832,4.544087
300,2872086b-ba1a-409a-8c56-9d308129db34,7/15/2020 22:54,Servicios,0,,Odonto Nico,1,,36063_3,si,no,Estandar,3143522728,3123804809,FISDECO,Salud,-74.143332,4.544657
301,b19c9e33-b925-45dc-8229-edd5510ad014,8/1/2020 19:54,Servicios,0,,Sala de Belleza KUKETA,2,,38674_1,si,no,Estandar,0,0,FISDECO,Peluquería,-74.140497,4.549323
302,fa9b54bb-54f1-4797-8367-36da8a3bf43b,8/1/2020 20:01,Industrial,0,,0,2,,38674_2,no,no,Estandar,0,0,FISDECO,Carpinteria,-74.140889,4.549571
303,7a91633a-b0c8-43b3-8ea0-36a903975c5b,8/1/2020 20:06,Servicios,0,,0,2,,38674_3,no,no,Estandar,0,0,FISDECO,Reciclaje,-74.140765,4.54919
304,7e5c8c22-58ce-456c-8d68-3062a51febca,8/1/2020 20:20,Servicios,0,,Arreglos de Costuras,2,,14809_1,no,no,Pequeña,0,0,FISDECO,Textil,-74.141134,4.54929
305,a8c6c906-966d-4e0d-8ee6-65a0e9998522,8/1/2020 20:23,Industrial,0,,0,2,,14809_2,no,no,Estandar,0,0,FISDECO,Metalurgica,-74.141179,4.549505
306,dc5330ec-3fde-40b4-867e-1f2bb904abe1,8/1/2020 20:30,Industrial,0,,Taller de Ormentación S.K.Y.B,2,,14809_4,si,no,Estandar,0,0,FISDECO,Metalurgica,-74.141735,4.549217
307,93f1fe2b-8312-491b-82ab-d9c4d46cef4b,8/1/2020 21:00,Servicios,6915900,,S.E.N.A,2,,14809_5,si,no,Estandar,3043532679,0,FISDECO,Educación,-74.141728,4.549163
308,7ed0111e-9e74-46b6-81b9-aac236337c53,8/1/2020 21:18,Servicios,0,,Reparación de maquis de coser,2,,14809_6,si,no,Pequeña,0,0,FISDECO,Textil,-74.141673,4.548991
309,d4c78195-c265-4e0e-8353-560b43504b24,8/1/2020 21:20,Otro,0,,Remontadora,2,0,37556_1,si,si,Estandar,0,0,FISDECO,Indefinido,-74.140769,4.549676
310,a1b370bc-a661-41a5-83c6-e468bcceaa52,8/1/2020 21:23,Comercial,0,,0,2,,37556_2,no,no,Estandar,0,0,FISDECO,Cigarrería,-74.140928,4.549645
311,d7586b22-573f-4ab8-815d-a60278394d5c,8/1/2020 21:26,Otro,0,,Iglesia Pentecostal Unida de Colombia,2,Iglesia,37556_3,si,no,Estandar,0,0,FISDECO,Iglesia,-74.141031,4.549617
312,ce913a15-927f-44c7-8c55-ebe153baeadb,8/1/2020 21:30,Comercial,0,,Restaurante,2,,37556_4,si,no,Estandar,0,0,FISDECO,Restaurante,-74.141133,4.549662
313,8f7339e6-b916-4ebe-8372-fe8aaf0902ca,8/1/2020 21:37,Comercial,0,,Toy Story Piñateria Desechables,2,,37556_5,si,no,Estandar,0,0,FISDECO,Remate,-74.141149,4.549748
314,aea8c545-3627-4212-8a71-6e65ea1f22ec,8/1/2020 21:46,Comercial,0,,Exquisitez del pacifico,2,,37556_6,si,no,Estandar,0,0,FISDECO,Restaurante,-74.141164,4.549809
315,e24e4a0e-5f6e-4a32-86b5-3d77022f66b7,8/1/2020 21:50,Servicios,0,,Peluquería Emmanuel,2,,37556_7,si,no,Estandar,0,0,FISDECO,Peluquería,-74.141172,4.549885
316,40f42b0e-b1a8-4731-88ff-2193f00010f2,8/1/2020 21:52,Comercial,0,,Papelería Detalles,2,,37556_8,si,no,Estandar,0,0,FISDECO,Miscelánea,-74.141154,4.550038
317,1c449d3f-9150-41b5-87d1-c375ab3fde1b,8/1/2020 22:01,Comercial,0,,Veteriria Jiman,2,,37556_9,si,no,Estandar,0,0,FISDECO,Mascotas,-74.141093,4.550051
318,6ed4c8b1-6611-4c94-85c6-99da503831a7,8/1/2020 22:58,Servicios,0,,Centro Juan Bosco Obrero,2,,20837_1,si,no,Estandar,0,0,CPS,Educación,-74.147584,4.543739
150,0a2abacb-f4eb-4262-81b1-5a4122555089,6/26/2020 23:17,Servicios,0,,Reparación de estufas electricas,1,,14810_1,si,no,Estandar,0,0,FISDECO,Taller,-74.142035,4.548928
319,24acb87d-307f-4765-8909-8c3b5a3310c6,1/08/2020  17:05:00 p. m.,Servicios,0,NA,Peluquería Shaloan,2,NA,37556_10,si,no,Estandar,0,0,FISDECO,Peluquería,-74.141037,4.550063
